ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,,ECG
RR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,
IBI,IBI,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursts,Bursts,,,,,,,,,,,,,,,,,,,,,,,,,,
Suppr,Suppr,,,,,,,,,,,,,,,,,,,,,,,,,,
G 01,,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,G 01,,G 01
G 02,,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,G 02,,G 02
G 03,,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,G 03,,G 03
G 04,,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,G 04,,G 04
G 05,,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,G 05,,G 05
G 06,,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,G 06,,G 06
G 07,,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,G 07,,G 07
G 08,,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,G 08,,G 08
G 09,,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,G 09,,G 09
G 10,,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,G 10,,G 10
