cha_labels,F:\UCLH_GLAS\icEEG\GLAS040\SPES~ 270711_87d5e4aa-91a5-4623-83e0-3ba9e909414e.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_1ddc736c-248b-4330-ad86-1e7258defcef.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_5cd84dd9-a3d9-4779-9305-485671198a33.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_695c1a00-f374-4089-b928-2a5528d85951.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_70a9a544-14a8-4484-ad64-d2a4b43b1279.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_796e983e-cbc1-472f-9705-e8b1fc70ae38.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_88ccb1a6-3fc5-4232-9e9b-db6669150eaa.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_f395f423-22d8-472b-b27e-fd6fa598856c.edf
Event,Event,Event,Event,Event,Event,Event,Event,Event
SMA3,SMA3,SMA3,,SMA3,SMA3,SMA3,SMA3,
SMA4,SMA4,SMA4,,SMA4,SMA4,SMA4,SMA4,
SMA5,SMA5,SMA5,,SMA5,SMA5,SMA5,SMA5,
SMA6,SMA6,SMA6,,SMA6,SMA6,SMA6,SMA6,
SMA7,SMA7,SMA7,,SMA7,SMA7,SMA7,SMA7,
SMA8,SMA8,SMA8,,SMA8,SMA8,SMA8,SMA8,
SMA9,SMA9,SMA9,,SMA9,SMA9,SMA9,SMA9,
SMA10,SMA10,SMA10,,SMA10,SMA10,SMA10,SMA10,
IL1,IL1,IL1,,IL1,IL1,IL1,IL1,
IL2,IL2,IL2,,IL2,IL2,IL2,IL2,
IL3,IL3,IL3,,IL3,IL3,IL3,IL3,
IL4,IL4,IL4,,IL4,IL4,IL4,IL4,
IL5,IL5,IL5,,IL5,IL5,IL5,IL5,
IL6,IL6,IL6,,IL6,IL6,IL6,IL6,
IL7,IL7,IL7,,IL7,IL7,IL7,IL7,
IL8,IL8,IL8,,IL8,IL8,IL8,IL8,
IL9,IL9,IL9,,IL9,IL9,IL9,IL9,
IL10,IL10,IL10,,IL10,IL10,IL10,IL10,
ECG1,ECG1,ECG1,,ECG1,ECG1,ECG1,ECG1,
ECG2,ECG2,ECG2,,ECG2,ECG2,ECG2,ECG2,
C73,C73,C73,C73,C73,C73,C73,C73,C73
C74,C74,C74,C74,C74,C74,C74,C74,C74
C75,C75,C75,C75,C75,C75,C75,C75,C75
C76,C76,C76,C76,C76,C76,C76,C76,C76
C77,C77,C77,C77,C77,C77,C77,C77,C77
C78,C78,C78,C78,C78,C78,C78,C78,C78
C79,C79,C79,C79,C79,C79,C79,C79,C79
C80,C80,C80,C80,C80,C80,C80,C80,C80
C81,C81,C81,C81,C81,C81,C81,C81,C81
C82,C82,C82,C82,C82,C82,C82,C82,C82
C83,C83,C83,C83,C83,C83,C83,C83,C83
C84,C84,C84,C84,C84,C84,C84,C84,C84
C85,C85,C85,C85,C85,C85,C85,C85,C85
C86,C86,C86,C86,C86,C86,C86,C86,C86
